Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y,type
30,0.7511352265582365,0.8626371622085571,464.20448560393265,1443.8026685393259,0.8024458885192871,1033.7988647003747,852.8965502106741,0.890958309173584,489.8478464419476,1495.095095973783,0.3058634400367737,1048.1159293071162,853.4930945692885,0.22846585512161255,1002.1750643726593,829.859916315543,0.8617428541183472,1052.786019428839,935.4773086376405,0.8674682378768921,992.4831753277153,940.5670646067416,0.7811815738677979,1060.607736423221,1028.5373507724719,0.8120808601379395,321.1257168773409,251.22767073384833,0.9821473956108093,575.5804511938203,1185.4541930009364,0.8407497406005859,335.0198970037453,-27.334770745552436,0.9039647579193115,309.9735194288389,1252.7269136235955,0.8085095882415771,390.52332045880155,688.9186124765918,0.7965954542160034,724.2269428838952,944.976957514045,0.8053939342498779,237.28347378277158,937.2670148642322,0.4276864528656006,569.6384158473783,1208.348841292135,0.7914073467254639,416.6684954353933,1189.2410609784645,COMMUNICATE
31,0.7829659493530498,0.9226961135864258,462.8310802902622,1459.897735252809,0.9209771752357483,463.7374180711611,1515.462897940075,0.8687074184417725,479.55282947097385,1501.3730395599252,0.27768200635910034,1065.7176088483147,839.4570019897004,0.25240346789360046,1005.5085440074906,828.3077305711611,0.8253883719444275,1050.5081051029963,934.5487330290263,0.8620995283126831,995.5252223782772,940.7590121722847,0.7440162301063538,1060.1953125,1025.9425474016855,0.8129981756210327,317.346017673221,250.33660317181648,0.916379451751709,575.5106653792135,1152.837737008427,0.8629759550094604,569.9605717462547,1166.8052141853932,0.8937535881996155,308.82351650280896,1251.008895131086,0.8023380041122437,391.5436271067416,688.6195722144195,0.8551262021064758,722.3332162921349,945.8263108614233,0.8839700222015381,241.5909556413858,944.4424449906368,0.6955438256263733,546.5407742275281,1217.7051147003747,0.9133656024932861,388.27890917602997,1175.4259568117977,COMMUNICATE
32,0.7513199711547178,0.8821451663970947,454.7141268726592,1465.2577832397005,0.7866454124450684,1036.6755910580525,850.4168129681648,0.989993155002594,472.7222319756554,1511.6112183988764,0.3353004455566406,1050.0254564606741,856.0246225421348,0.22989338636398315,555.6268287687266,1436.9856039325844,0.7333545684814453,1056.2944756554307,927.6816333099251,0.7772598266601562,995.6724016853932,938.3574730805244,0.5667799711227417,1065.0118504213483,1019.1619850187267,0.8183901309967041,315.19392263576776,251.77600874882958,0.954108715057373,574.5373946629214,1151.4836434925094,0.8903553485870361,586.2796992041199,1147.057657420412,0.8507595062255859,319.96942298689146,1257.2681121254682,0.8605210781097412,397.9037921348315,695.3812617041199,0.9137488603591919,720.6203183520599,946.9894809222847,0.8835280537605286,232.34016561329588,956.052273525281,0.4351513087749481,1086.1813845973784,1219.6360750234082,0.8645045757293701,399.0676205524345,1215.7784702715355,COMMUNICATE
33,0.7433085476650911,0.9297447204589844,445.15771301498125,1462.3326310861423,0.7414507269859314,439.5648993445693,1499.1365285580525,0.9272976517677307,458.6369820926967,1507.6249414794008,0.5408728718757629,414.0829822097379,1471.66798338015,0.2063809037208557,1008.955699906367,829.4482970505618,0.7345622181892395,1058.2246313202247,930.2318878745318,0.7157610058784485,995.7348724250937,937.1281015917604,0.7377180457115173,1056.5799098782772,1027.4122922518727,0.8097089529037476,314.70498302902627,250.25908166549627,0.9742403030395508,580.6029816245318,1117.9483409410113,0.790201723575592,334.6125204822098,-32.777227623185865,0.8447713851928711,324.7784263810862,1255.5151275749065,0.7543458342552185,399.0891268726592,689.0822507022472,0.8770716190338135,726.1762640449438,947.9040847378277,0.7451397776603699,245.36063319288394,946.062734082397,0.49788814783096313,517.4682525749064,1250.4643609550562,0.8090894222259521,402.047270014045,1213.0167368913858,COMMUNICATE
34,0.747741790378795,0.7674174308776855,436.36374941479403,1465.4260299625469,0.7864828705787659,1026.060393258427,843.5141619850187,0.8538892269134521,455.5951544943821,1514.9256788389514,0.49916401505470276,1054.7745493913858,846.263825491573,0.2057531177997589,1009.9021242977528,828.5242567883895,0.8420423269271851,1051.1551966292136,933.671875,0.7750351428985596,997.9766502808989,935.7209737827716,0.8017945885658264,1054.1028792134832,1024.6051322565543,0.778212308883667,313.8951310861423,245.7558118270131,0.9935333132743835,571.7837810159176,1141.0442269428838,0.8017503023147583,569.601182116105,1144.826340121723,0.8728423118591309,327.11244733146066,1252.040466994382,0.7144968509674072,297.77643668071164,1243.6712897940076,0.8830492496490479,721.8994323501872,947.3212927200375,0.8157848119735718,265.2817766853933,947.373668656367,0.414625346660614,1086.611803604869,1219.0442854634832,0.9057372212409973,407.0456606975656,1204.7361452481273,COMMUNICATE
35,0.6933476854773128,0.5802770256996155,434.83614232209743,1469.9669358614233,0.5313060879707336,439.43695868445695,1473.092813670412,0.7355142831802368,456.0467140683521,1500.1590297284645,0.4638771116733551,1043.7245435393259,856.0572477762173,0.23918631672859192,452.41046348314615,1452.2409000468165,0.7848801612854004,1061.7143609550562,933.9857648642322,0.5352538824081421,1003.8686505149813,938.7968164794008,0.47672903537750244,619.5050620318352,268.56491031718167,0.8045489192008972,249.75275046816478,958.3211171582398,0.9209039211273193,552.1738208099251,1159.3460323033707,0.9648505449295044,355.6733526451311,1167.9245669475656,0.8715097904205322,320.7890039794007,1250.444756554307,0.8589133024215698,301.244147940075,1229.7449964887642,0.9259294271469116,717.0786516853932,946.1228639981274,0.826404333114624,262.14499941479403,947.4715443586142,0.4455348253250122,544.740241690075,1197.518507139513,0.8212916851043701,399.52122834737827,1201.2688728932585,COMMUNICATE
36,0.7209394626757678,0.7749391198158264,447.6065074906368,1447.4533298220974,0.6798156499862671,445.10299625468167,1455.0238471441949,0.9543145298957825,466.43009714419475,1495.3855044475656,0.42517903447151184,1047.1308813202247,854.9921728698503,0.1690637767314911,449.55985194288394,1467.9370025749065,0.7400223016738892,1062.0400280898878,928.6014308286517,0.4251563549041748,1007.2015449438202,937.3615987827716,0.45200315117836,617.4364319990636,267.6936848958333,0.7870153188705444,315.560627340824,240.68673923220976,0.7979997992515564,638.7677024812735,4.216666060887026,0.8972955942153931,562.1984726123596,1169.721734550562,0.9144924879074097,300.420470505618,1243.9723782771537,0.8202921748161316,284.12899403089887,1226.0560773642324,0.8657944202423096,708.7168627106741,941.9787277621723,0.928165078163147,250.2052610018727,954.1091701779027,0.7300471067428589,544.3602966994382,1204.4999414794008,0.8943749666213989,392.533356741573,1194.4382022471912,COMMUNICATE
37,0.6017366454881781,0.39044782519340515,453.1784731975656,1467.3948092228466,0.2164265215396881,428.0362681413858,1294.8855922284645,0.3302970826625824,458.55966175093636,1489.5751404494383,0.41484540700912476,380.51373771067415,1283.4338424625469,0.1509612798690796,446.85883368445695,1446.1066245318352,0.5207192897796631,1060.2734375,923.4840238764045,0.39683055877685547,393.01249414794006,-26.965055429980104,0.521686851978302,622.9624590355807,260.34560071395134,0.9033061861991882,249.39862769194758,950.83750292603,0.8389431238174438,316.4322185159176,1131.0516883192884,0.9282560348510742,337.8465150983146,1154.4986247659176,0.9088301062583923,488.92307467228466,692.0037453183521,0.7486755847930908,376.64596500468167,671.8438377808989,0.8215932250022888,706.5370435393259,940.0718340355805,0.7581685781478882,251.40069054307116,955.1536897237828,0.7848747968673706,565.9441567181648,1197.0661429073034,0.5946605205535889,337.92412804307116,1148.7297372425094,COMMUNICATE
38,0.6797086228342617,0.782841682434082,460.63728932584274,1463.547811329588,0.6413192749023438,452.5418422284645,1497.8316654962548,0.8850221037864685,490.1552258895132,1511.9607326779026,0.4826507866382599,423.07386762640454,1462.3199028558054,0.31816476583480835,494.5620464653558,1459.269370318352,0.6098467707633972,1059.0262172284645,926.1297401685393,0.44304418563842773,388.51167485955057,-27.446412504389045,0.5001736283302307,622.5363559222847,259.6715897120787,0.7918720245361328,313.38285639044943,238.5710001170412,0.9018352031707764,565.0816362359551,1180.0774666432585,0.9182857275009155,311.079924508427,1115.4167398174159,0.8922418355941772,488.9584064840824,682.316172167603,0.8126776218414307,383.0557993913858,671.2389542368915,0.787665605545044,590.8624473314607,273.5094620493914,0.8063528537750244,455.892585440075,1322.2477762172284,0.6836986541748047,574.0500643726592,1196.545236423221,0.2973538637161255,285.85052375936334,1147.1803312265918,COMMUNICATE
39,0.6914988721118254,0.8109325766563416,454.13345622659176,1475.4380266853932,0.6141374707221985,453.96857443820227,1498.961259363296,0.9428198337554932,478.04226650280907,1522.6392790262173,0.45958641171455383,433.83821980337086,1461.4537979868915,0.1599244475364685,478.3032683754682,1293.58672752809,0.527755618095398,400.4898905664794,1318.598285346442,0.3824884593486786,391.349923923221,-23.46209693937266,0.5479583144187927,354.6468281835206,599.141173630618,0.7803561687469482,313.4208216292135,242.51091774929776,0.9141092896461487,568.0965443586142,1168.4084591526218,0.9345604181289673,562.2591145833334,1182.4667895599252,0.8684184551239014,475.12303955992513,696.3986423220974,0.7459259033203125,383.47634304775283,683.4675649578652,0.8012323379516602,702.9770891853932,946.249926849251,0.6248453855514526,701.4673308754682,969.2536429073034,0.8580245971679688,255.70809925093636,1119.7742567883895,0.7824051380157471,260.44651217228466,1103.057262406367,COMMUNICATE
