Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.5791455472216887,0.8753931522369385,511.4757432116105,1377.4019779962548,0.3784005343914032,503.11197916666674,1375.8188494850187,0.38628923892974854,584.9304336376405,1402.7750468164795,0.4444993734359741,463.66851006554305,1318.9258544007491,0.44373035430908203,334.5280313670412,375.6082119030899,0.2385633885860443,771.260241104869,1042.459913389513,0.14106959104537964,347.15816654962555,497.8107443820225,0.833621621131897,786.7222612359551,794.4858965355805,0.989997148513794,293.28585849719104,790.6228786282771,0.9502007365226746,249.2485223548689,500.0617758075843,0.9981075525283813,766.8077744616105,456.65788857677904,0.4773300886154175,635.2130881320224,546.4009099953183,0.394226610660553,388.23589653558054,592.7383982911986,0.3969484567642212,540.7446014747192,164.41773832514045,0.8173143863677979,334.0583304073034,1118.215926381086,0.6515419483184814,266.1148905664794,513.099689840824,0.4282401204109192,272.25845622659176,505.1798776919476
1,0.6009858706418205,0.8484869003295898,520.826018258427,1380.229547050562,0.3845255374908447,508.99578651685397,1374.8613061797753,0.7258976697921753,539.7600655430712,1416.3231507490636,0.518271267414093,440.6348753511236,1356.3898642322097,0.31985798478126526,301.5577452013109,377.86271798923224,0.21622273325920105,737.9458538155432,839.7381203183521,0.19758358597755432,641.1219130383895,1205.3905518492509,0.9781476259231567,783.4174566947565,783.4395482209738,0.926644504070282,293.01761470037457,781.4164911048689,0.8303125500679016,244.41808579119856,501.7022910814607,0.9817744493484497,762.1453651685395,452.8401875585206,0.44435226917266846,603.5596617509364,555.6831548455057,0.7449494004249573,418.4239671114233,641.7480102996254,0.45523902773857117,574.8061505149813,134.9060012874532,0.7563910484313965,337.16262874531833,1118.7447331460673,0.3555818200111389,257.57600362827714,502.6204792837079,0.5325214266777039,305.7523554541199,1011.2168627106741
2,0.6016596064848059,0.8786383867263794,492.07623771067415,1353.629301264045,0.38866978883743286,504.70271535580525,1373.4797811329588,0.5574977397918701,525.5925210674158,1421.5674742509364,0.4915129840373993,460.4907683754682,1332.1182993913858,0.44381412863731384,297.3799596207865,380.2559178955993,0.19871777296066284,747.2622600655432,888.914296582397,0.26151102781295776,629.672504096442,1225.5815484550562,0.9318604469299316,787.1107648642324,779.8786429073034,0.960013210773468,287.6801702949439,785.826018258427,0.7664635181427002,247.53474660580525,497.576954588015,0.9927964210510254,760.2774607911986,452.93052873361427,0.49277952313423157,632.3844218164795,627.9584357443821,0.6635085344314575,419.23067357209743,650.6136616338952,0.3612786829471588,558.467418656367,142.8535924332865,0.7601614594459534,342.923981741573,1121.0613442181648,0.5984691977500916,260.3983789794007,503.4175664208802,0.48052048683166504,259.0859082397004,501.89628686797755
3,0.6016773634097156,0.8544478416442871,503.2380910580524,1354.8326310861423,0.3102033734321594,504.62839419475654,1363.0677961142324,0.6353330612182617,545.6711581226592,1404.710469335206,0.6426382660865784,464.40908824906376,1317.9251521535582,0.37588539719581604,308.4211142322098,390.3780430711611,0.09652665257453918,751.3646272237829,909.0539413623596,0.2112358808517456,653.4674918071162,1206.7453037219102,0.9345330595970154,782.6224543539327,781.433827832397,0.9765859842300415,291.77968457397003,786.6420148642322,0.7923944592475891,251.05483380149815,495.56377282303373,0.9891569018363953,761.7137025983147,453.89421670177904,0.596019446849823,629.8893960674159,623.0342930711611,0.6617425680160522,416.7946804775281,648.0623098080524,0.4640406668186188,558.6264483848315,148.02574357736424,0.7329659461975098,338.69798981741576,1116.5251199672284,0.4888896048069,266.16887581928836,507.04807467228466,0.46591606736183167,305.22969335205994,1051.127106741573
4,0.5984656828291276,0.8771599531173706,494.2978259597379,1357.2359257958801,0.3709715008735657,502.6493006788389,1355.2532478932585,0.5511119961738586,543.3640566479401,1402.6536165730338,0.6529233455657959,466.9153060627341,1310.2833860018727,0.3900938034057617,280.0796611657304,384.9111584152622,0.09107175469398499,352.02656835205994,493.96776977996257,0.287201464176178,377.5441099016854,331.25632753979403,0.8813948631286621,780.6551381086142,783.8439987125469,0.9872657060623169,290.3424918071162,787.9994001638577,0.8110186457633972,249.05745259831463,496.810078710206,0.9814711809158325,765.9560802902622,460.355549215824,0.5001533627510071,628.6360311329588,560.45155957397,0.5151073932647705,405.05676498127343,631.5228522940075,0.5599309802055359,557.9105220037453,175.71693220388576,0.8995758295059204,526.3676264044944,184.08234214068352,0.45218953490257263,259.65333860018734,507.38098373127343,0.3652752935886383,256.801410346442,501.5621342462547
5,0.6089406995212331,0.8851261138916016,501.68685627340824,1355.3034293071162,0.25790005922317505,505.84832923689146,1355.7140976123596,0.5870888829231262,542.8174742509364,1400.9228698501872,0.5993552803993225,470.5419738998128,1307.8537570224719,0.6231991052627563,279.7838395365169,386.6556574789326,0.09135386347770691,319.5466116573034,491.60745113529964,0.2061949372291565,639.6810627340824,1214.3261352996255,0.8789284229278564,784.2999473314608,779.7298542837079,0.9811991453170776,292.75822214419475,788.4802200374533,0.7729074954986572,246.18965063202245,498.5671962780899,0.9841464757919312,759.9526714653559,455.17318439840824,0.5697015523910522,620.7856390449438,556.0323399461611,0.5581122636795044,400.9640537219101,625.9704909878277,0.6885910630226135,549.8763752340824,183.31222934222848,0.8817499876022339,522.2002282303371,190.57589755969101,0.4698375165462494,265.0624707397004,508.83196541432585,0.3165997266769409,256.52043831928836,504.30715268024346
6,0.625909694853951,0.8825933933258057,496.4782303370787,1351.3272471910113,0.4791962206363678,502.8330553604869,1359.8376053370787,0.4917760491371155,524.1969510767791,1424.1616924157304,0.6196067929267883,464.55407303370794,1311.6985603932585,0.5420733094215393,289.9766649110487,398.67513020833337,0.11011898517608643,747.80079588015,898.9706958099251,0.28940555453300476,666.1027475421349,1241.7430360486892,0.8481597304344177,784.4209386704119,780.6104430009364,0.9686449766159058,293.62461961610484,788.2425532537453,0.7552186846733093,249.8392146535581,498.4155181999064,0.9896339178085327,765.5331958099252,461.8838146652622,0.6710491180419922,633.0290262172284,624.9583040730337,0.594426155090332,416.53704353932585,628.700550093633,0.3970295786857605,578.1794973080524,172.16259216994382,0.9233604669570923,516.5183900983146,195.2702188670412,0.594232439994812,258.1026158707865,499.6456577715356,0.48393943905830383,261.00326252340824,500.2310100655431
7,0.5945070140502032,0.8153883218765259,486.9271564840824,1365.7584269662923,0.39540332555770874,505.77532478932585,1358.1895189606741,0.5050339102745056,519.2848051264045,1407.5232619382023,0.5628320574760437,468.6490519662922,1308.692503511236,0.3211022615432739,288.3091935861423,406.4842286985019,0.15473181009292603,409.6292720037453,1174.6982531601125,0.29931557178497314,323.4325988998128,501.354532420412,0.7400621771812439,787.7256700608614,795.8378686797753,0.9804939031600952,294.0840063202247,788.7595827481274,0.7309995889663696,251.59212605337086,499.3647954705056,0.9926421642303467,761.4191245318352,458.9037628745319,0.5827838778495789,637.6060685861423,623.316874414794,0.5721662044525146,409.5180828651686,632.3635738529963,0.48734021186828613,577.2735252808989,177.86754593867042,0.9084901809692383,518.7923542837079,197.52649885884833,0.5584263801574707,265.320473431648,504.1964390215356,0.4994072914123535,266.06375819288394,498.1298279494382
8,0.6084681959713206,0.9011889696121216,481.4238793305244,1367.4366514513108,0.5820374488830566,498.4835118211611,1357.5975830992509,0.5496267676353455,511.90228522940083,1416.2908181179776,0.6723983883857727,467.4907098548689,1312.4647413389514,0.3265686631202698,280.4638488998128,401.8577729985955,0.18116813898086548,403.2965385065544,1148.4872425093633,0.21770817041397095,329.44017731741576,488.299610838015,0.7708982825279236,787.7317415730338,793.4467901451311,0.9792003631591797,284.2820985486892,782.112813085206,0.909595251083374,250.56172460205994,498.9882519897004,0.9933647513389587,759.8667924859551,459.34336230102997,0.4036455452442169,620.7568176498128,567.6682467228464,0.5332827568054199,413.14050795880155,624.8782771535581,0.4833948016166687,576.7728084035581,171.8550298455056,0.9303028583526611,515.0393551029963,188.9593757315075,0.4832543730735779,265.47657713014985,515.638825491573,0.426323801279068,265.07351650280896,507.99281659644197
9,0.6524049709824955,0.8132584691047668,504.7188816713483,1382.5939255617977,0.3607160449028015,480.0464507256555,1412.933052434457,0.7608052492141724,532.7541257022473,1399.9705933988764,0.7445339560508728,471.6201427902622,1315.606566011236,0.517589807510376,290.84986540262173,390.2257432116105,0.1543583869934082,407.9137406367041,1162.5253833099252,0.3592110276222229,688.5934573970037,1231.8925561797753,0.8046540021896362,786.9376170411986,794.920704588015,0.9686570167541504,286.6450871956929,784.58984375,0.8755978345870972,251.6450871956929,496.307423338015,0.9924167990684509,759.382973431648,460.2623185861423,0.4833802580833435,566.3719422986892,468.0012289325843,0.5448700785636902,400.1377428604869,592.9260299625469,0.5802181959152222,581.4037628745318,178.45297138342698,0.9020923376083374,505.40993679775283,189.3348768141386,0.6684154272079468,263.023832514045,513.6507344335206,0.5601096153259277,266.3309778792135,509.00390625
