Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.6669828856692595,0.9823405742645264,500.4382461376405,1294.658824906367,0.7629623413085938,450.1435217696629,1354.0679131554307,0.9360142946243286,525.8987301029963,1345.949057818352,0.7378185987472534,422.2889600889513,1300.8633251404494,0.16835451126098633,570.2355454119851,1317.1668714887642,0.40986692905426025,531.1965268024345,1086.985457631086,0.5348559617996216,431.8202100889513,952.4407478932585,0.7904338836669922,260.5328300561798,761.7008280664794,0.6693553924560547,274.42598607209743,770.6632578417604,0.955773115158081,608.4159936797753,835.4351738061798,0.840650200843811,489.4224748361423,753.1694025046817,0.8718246221542358,642.1179336376406,859.7416315543071,0.4435606896877289,476.2211786048689,879.9656922986892,0.47984009981155396,482.8855775983146,18.39989594305946,0.49374356865882874,357.41975362827714,1036.5906630383895,0.9324220418930054,576.5921260533709,1141.077656835206,0.32889223098754883,588.748829588015,855.8797109082398
1,0.6749838783460504,0.9783673286437988,496.9022120786517,1293.7381495786517,0.6574491262435913,469.3176498127341,1343.918831928839,0.8800021409988403,529.404918656367,1350.6814723782772,0.7592459917068481,415.32157069288394,1306.7077773876406,0.21325984597206116,496.9550269194757,1279.5779201779026,0.5771600008010864,435.16415028089887,1121.8341818820224,0.659595251083374,419.42642497659176,947.2065191947565,0.874208927154541,259.39636001872657,761.7137025983146,0.510118305683136,274.8910785346442,770.3069405430712,0.9658333659172058,613.972817181648,838.8622132490636,0.8508290648460388,488.04797226123594,759.6721383426966,0.7097058296203613,735.1025573501872,1038.9564314138577,0.49012112617492676,447.11369089419475,925.6925912921348,0.6997312307357788,482.24236306179773,19.442851891678373,0.5791473984718323,388.1400690543071,825.4898174157304,0.7166109085083008,584.2568615402622,1155.74686914794,0.3533400893211365,608.3448180009364,869.5629974250936
2,0.675466495401719,0.9780429601669312,520.0969247425094,1303.6799215823971,0.8755549192428589,446.0371313202247,1356.874853698502,0.8769875168800354,528.0211990870787,1351.884070692884,0.7348163723945618,420.40130500936334,1300.580085440075,0.3744198679924011,494.65011996722853,1271.8998712546818,0.6085257530212402,557.2498244382023,1118.3928048923221,0.39358532428741455,431.95612418071164,943.7322975187266,0.6348907947540283,723.6532215589889,753.0120552434457,0.675041675567627,274.0547460205993,769.7567737593633,0.9668335914611816,609.7939343398878,836.2259334035581,0.884268581867218,483.1533824906368,762.4767380617977,0.6707609295845032,744.1232882724719,1046.3446570692884,0.6287961602210999,470.822507022472,943.0161516853933,0.3979640603065491,499.4768258426967,30.444553103786284,0.529305100440979,362.2022764513109,1043.1751814138577,0.8390933275222778,597.552814840824,1166.1874561095506,0.41404348611831665,499.29855746722853,809.8279494382023
3,0.6721562953556285,0.9808851480484009,510.60598080524346,1299.6488764044943,0.8092215061187744,449.8226825842697,1362.7787043539327,0.9038381576538086,533.8344891151686,1351.8546640917602,0.7786089777946472,424.04179833801504,1309.2582514044943,0.1921900510787964,503.3315777153558,1276.2126931179776,0.5990246534347534,551.9651217228464,1124.1492567883895,0.40699899196624756,560.5844744850187,1075.0060715121724,0.5888878107070923,262.41338951310865,751.5358731273409,0.6314568519592285,275.3449057818352,770.9571044007491,0.9430938959121704,602.898598431648,838.5483965355805,0.8261795043945312,490.18529084737827,750.6274871254682,0.8177590370178223,472.0169124531835,434.2647252457865,0.43289101123809814,657.5220183754682,311.5092828300562,0.5455591678619385,854.0665964419477,789.5996459503746,0.5916591286659241,357.4158034878277,1049.8304365636704,0.819252610206604,593.9121020599251,1162.1471207865168,0.5591505169868469,583.8643346207865,853.5450316011236
4,0.6854918406290167,0.9721592664718628,479.0407010767791,1296.2169358614233,0.8173111081123352,440.6010065543071,1345.0238471441949,0.7361878156661987,540.6299011001873,1343.3912687265918,0.8265321254730225,387.1416344803371,1313.7941830524344,0.4402303397655487,488.4599572799626,1272.8414676966293,0.6594305634498596,568.5794124531835,1118.9989319990636,0.43250125646591187,588.116953417603,1141.9246693586142,0.48753297328948975,824.4054307116105,788.5840941011236,0.631107747554779,275.3656074438203,769.3564197097379,0.9716678857803345,603.425942181648,838.5308403558053,0.8692760467529297,477.4058549859551,769.603669241573,0.8371831178665161,731.0530050327716,1046.3409995318352,0.6130596399307251,451.2095476357679,943.7328827247192,0.5716427564620972,470.24446980337086,8.389156498712547,0.5995973944664001,360.3103054775281,1056.549918071161,0.8820719718933105,598.8893521769663,1154.649315308989,0.30586928129196167,588.0244908707865,849.0242421582398
5,0.6913474798202515,0.9615253210067749,507.16145833333337,1292.0008192883895,0.7175502777099609,437.2845710440075,1339.3360838014983,0.7543565630912781,531.2076457162922,1341.6283356741574,0.8001108169555664,394.6393668071162,1314.9329939138577,0.43277356028556824,488.7652885065544,1271.0895072565543,0.692704975605011,569.304848431648,1129.0135621488764,0.5956373810768127,586.0047255383895,1140.1710264513108,0.4666600525379181,261.77200374531833,755.2163067649813,0.7311576008796692,273.2337751638577,772.4024900514981,0.9849636554718018,606.1713629447565,837.4833216292135,0.8230129480361938,482.8599748361423,763.9637464887641,0.8797593116760254,733.5119674625469,1041.1328125,0.48432669043540955,421.7654933286517,881.079924508427,0.6328020095825195,853.537570224719,787.1466818820224,0.6091411709785461,360.3983058286517,1052.0605834503747,0.9693557024002075,579.095856741573,1157.1582397003747,0.2170691192150116,592.9930360486892,843.1108819054307
6,0.7078687566168168,0.9638221859931946,466.92730278558054,1300.8789794007491,0.7848904132843018,507.73869089419475,1203.3530108848315,0.841742992401123,525.0592521067416,1344.8024929775281,0.8253538608551025,389.9641561329588,1316.8829002808989,0.31776314973831177,488.83368445692884,1272.0534878277153,0.7083189487457275,569.990783005618,1126.1411516853932,0.7122143507003784,586.5092462546817,1140.2838980571162,0.46074599027633667,802.2417778558054,785.5561651451311,0.7244789600372314,272.5640069054307,771.1468574438203,0.9863582849502563,609.5313963014983,837.0842842930712,0.8503401279449463,477.7109667602997,769.0600128745318,0.8873074054718018,489.53234726123594,384.47071775514985,0.6862659454345703,418.8930828651686,884.1426000702247,0.5681688189506531,853.493679775281,787.6281601123595,0.5527276992797852,360.00395014044943,1052.2411194990636,0.923697829246521,574.749458684457,1155.4702130149813,0.23957189917564392,592.5320400280899,855.349148525281
7,0.6923512658652138,0.9667738676071167,474.06901041666674,1299.465706928839,0.7886965870857239,437.6245025749064,1344.3453007958801,0.7106647491455078,527.3640859082398,1340.0716877340824,0.8726623058319092,383.0493621254682,1313.8733321629213,0.2664251923561096,485.0432320926967,1270.5244908707866,0.6048527956008911,561.5520394428839,1123.647515800562,0.6071922779083252,567.5460849719101,1094.6936446629213,0.4369657635688782,685.5037160580525,746.7216760299626,0.7737511992454529,271.865783005618,769.1364554073034,0.9729572534561157,608.839536516854,839.6112769194757,0.8951229453086853,474.7733058286517,768.71327832397,0.9067736268043518,468.359301849251,392.139842286985,0.6715865135192871,418.53303487827714,876.2527065777153,0.6227580904960632,486.6895628511236,14.569000358438672,0.5703537464141846,359.9504037921348,1056.9125263342696,0.8414173126220703,579.8039559925094,1151.71875,0.2610172927379608,607.398759363296,874.3798279494382
8,0.6743708217845243,0.9706834554672241,491.93337429775283,1288.0263927902622,0.7392005324363708,448.5538096910112,1352.844832631086,0.7657338380813599,519.6050591058053,1346.3973256086142,0.7598065137863159,386.53901860955057,1315.094218164794,0.1979459822177887,506.6532069288389,1284.870376872659,0.5689229965209961,571.9728757022473,1115.3594627808989,0.5637847781181335,600.9641268726592,1140.354927434457,0.509035050868988,690.5179804541199,739.5661429073034,0.7672349214553833,270.49515742041206,771.221251755618,0.9884845018386841,608.9031776685395,838.6452481273409,0.739611804485321,477.70665086610495,765.3957455524345,0.8132104873657227,725.5250029260301,1036.6059515449438,0.5983003973960876,424.4166227762173,867.8184983614233,0.6882929801940918,484.4893346207865,20.04863153236189,0.6350670456886292,355.93859726123594,1040.6263167134832,0.8673574924468994,583.9848139044944,1147.2259041432585,0.29163119196891785,620.2524432350187,872.4801029962547
9,0.6408618951545042,0.9751911163330078,496.34977762172286,1292.3910053838952,0.69412761926651,481.72599192415737,1348.3514747191011,0.7899426221847534,522.0575842696629,1350.6463600187267,0.7458404898643494,409.754140332397,1310.0892439138577,0.22864043712615967,506.1065513810862,1283.0882783239701,0.4394421875476837,576.6821746254682,1126.3148847144196,0.48075973987579346,550.2926029962547,1098.4287219101125,0.6290334463119507,741.5714975421349,-45.98142702481274,0.8115910291671753,266.0556384597379,769.0883222144195,0.9486719369888306,619.9847846441949,804.4824584503746,0.6309242248535156,483.3832952949439,763.1264630149813,0.8151012659072876,733.8439255617977,1045.5241982677903,0.33843857049942017,497.33555711610495,414.2763927902622,0.5526952743530273,855.3101591760301,783.5636850421348,0.6045764088630676,357.9396360018727,1034.5692152387642,0.9158960580825806,589.0469920411986,1142.0885270365168,0.29377979040145874,646.5824701544943,866.927741690075
10,0.6522463191958034,0.9880542755126953,498.1538213951311,1300.8895131086142,0.8443207740783691,476.4712810159176,1364.9158766385767,0.9010486602783203,530.6213424625469,1355.5546289794008,0.8539724349975586,421.1689489700375,1297.528675093633,0.21553483605384827,511.066172167603,1280.5107385299625,0.44932886958122253,374.97044709737827,1133.6842374765918,0.7305749654769897,563.802814840824,1090.1366455992509,0.42931273579597473,257.66978288857683,752.3210732677903,0.7331725358963013,270.0957543305244,770.7786897237828,0.9081199169158936,609.5523905664795,815.0141180945693,0.595625638961792,481.4517497659176,753.7939636001873,0.7319374084472656,742.7763635299625,1039.4624151451312,0.34537431597709656,423.0615051498128,841.3506554307116,0.5109367370605469,853.3988764044943,786.7073384831461,0.5889970660209656,359.7496049859551,1037.0569259129213,0.9340610504150391,591.9902855805244,1140.85235252809,0.3278152048587799,655.9069229868915,873.3162160580524
